127.0.0.1 - - [14/May/2025:13:24:01 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/May/2025:13:34:29 +0900] "GET /first/memberList.jsp?cat=name&search=%EA%B9%80 HTTP/1.1" 200 2144
0:0:0:0:0:0:0:1 - - [14/May/2025:13:34:35 +0900] "GET /first/memberList.jsp?cat=name&search=%E3%85%8E HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [14/May/2025:13:44:26 +0900] "GET /first/memberList.jsp?cat=email&search=k HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [14/May/2025:13:44:29 +0900] "GET /first/memberList.jsp?cat=id&search= HTTP/1.1" 200 2534
0:0:0:0:0:0:0:1 - - [14/May/2025:15:02:40 +0900] "GET /first/index.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [14/May/2025:15:02:43 +0900] "GET /first/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/May/2025:15:02:45 +0900] "GET /first/index.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [14/May/2025:15:02:46 +0900] "GET /first/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/May/2025:15:02:51 +0900] "POST /first/loginProcess.jsp HTTP/1.1" 200 243
0:0:0:0:0:0:0:1 - - [14/May/2025:15:02:57 +0900] "POST /first/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:02:57 +0900] "GET /first/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [14/May/2025:15:03:03 +0900] "GET /first/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [14/May/2025:15:03:04 +0900] "GET /first/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [14/May/2025:15:03:05 +0900] "GET /first/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [14/May/2025:15:03:08 +0900] "GET /first/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:03:08 +0900] "GET /first/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/May/2025:15:03:10 +0900] "GET /first/index.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [14/May/2025:15:19:47 +0900] "GET /first/index.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [14/May/2025:15:19:48 +0900] "GET /first/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/May/2025:15:19:53 +0900] "POST /first/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:19:53 +0900] "GET /first/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [14/May/2025:15:19:55 +0900] "GET /first/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:19:55 +0900] "GET /first/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/May/2025:15:20:01 +0900] "POST /first/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:20:01 +0900] "GET /first/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [14/May/2025:15:32:49 +0900] "GET /first/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:32:49 +0900] "GET /first/login.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [14/May/2025:15:51:44 +0900] "POST /first/loginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:51:44 +0900] "GET /first/index.jsp HTTP/1.1" 200 365
0:0:0:0:0:0:0:1 - - [14/May/2025:15:51:51 +0900] "GET /first/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/May/2025:15:51:51 +0900] "GET /first/login.jsp HTTP/1.1" 200 374
